status,grain,source,column,year,n_cells,value_min,value_max,runtime_s,out_path,reason
rendered,zip5,pm25_lur,pm25_lur__pm25_mean,2019,33037,1.121741678356512,37.25265300350102,10.897,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/pm25_lur/pm25_mean_2019.png,
rendered,zip5,pm25_lur,pm25_lur__pm25_p98,2018,33039,4.708457100126476,142.4011590576171,11.003,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/pm25_lur/pm25_p98_2018.png,
rendered,zip5,pm25_lur,pm25_lur__pm25_p98,2019,33037,4.187159013589222,44.74394976298014,10.97,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/pm25_lur/pm25_p98_2019.png,
rendered,zip5,svi,svi__theme1_rpl,2018,36682,0.0,1.0,11.122,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/svi/theme1_rpl_2018.png,
rendered,zip5,svi,svi__themes_rpl,2018,36682,0.0,1.0,11.072,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/svi/themes_rpl_2018.png,
rendered,zip5,walkability,walkability__natwalkind_derived,2018,36935,1.0,20.0,11.159,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/walkability/natwalkind_derived_2018.png,
rendered,zip5,walkability,walkability__natwalkind_derived,2019,36935,1.0,20.0,11.215,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/walkability/natwalkind_derived_2019.png,
rendered,zip5,walkability,walkability__no_transit_mean,2018,36941,0.0,100.0,11.035,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/walkability/no_transit_mean_2018.png,
rendered,zip5,walkability,walkability__no_transit_mean,2019,36941,0.0,100.0,11.122,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/walkability/no_transit_mean_2019.png,
rendered,zip5,worldpop,worldpop__pop_density,2018,38393,0.0,58338.60308378532,11.049,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/worldpop/pop_density_2018.png,
rendered,zip5,worldpop,worldpop__pop_density,2019,38393,0.0,58510.53031291658,11.271,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/zip5/worldpop/pop_density_2019.png,
skipped,h3_res4,acs,bachelors_rate,2018,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/bachelors_rate_2018.png,output exists (use --force to overwrite)
skipped,h3_res4,acs,bachelors_rate,2019,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/bachelors_rate_2019.png,output exists (use --force to overwrite)
skipped,h3_res4,acs,bachelors_rate,2020,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/bachelors_rate_2020.png,output exists (use --force to overwrite)
skipped,h3_res4,acs,median_gross_rent,2018,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/median_gross_rent_2018.png,output exists (use --force to overwrite)
skipped,h3_res4,acs,median_gross_rent,2019,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/median_gross_rent_2019.png,output exists (use --force to overwrite)
skipped,h3_res4,acs,median_gross_rent,2020,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/median_gross_rent_2020.png,output exists (use --force to overwrite)
skipped,h3_res4,acs,median_hh_income,2018,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/median_hh_income_2018.png,output exists (use --force to overwrite)
skipped,h3_res4,acs,median_hh_income,2019,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/median_hh_income_2019.png,output exists (use --force to overwrite)
skipped,h3_res4,acs,median_hh_income,2020,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/median_hh_income_2020.png,output exists (use --force to overwrite)
skipped,h3_res4,acs,median_home_value,2018,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/median_home_value_2018.png,output exists (use --force to overwrite)
skipped,h3_res4,acs,median_home_value,2019,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/median_home_value_2019.png,output exists (use --force to overwrite)
